R;P;T
-7,493314E+07;4,96272E+07;-1053478
-7,234467E+07;4,963451E+07;-1097801
-6,978922E+07;4,963355E+07;-1140671
-6,726654E+07;4,962505E+07;-1182620
-6,477626E+07;4,960988E+07;-1223270
-6,231764E+07;4,958755E+07;-1263044
-5,748475E+07;4,952456E+07;-1339417
-5,275618E+07;4,943541E+07;-1411994
-4,812777E+07;4,93239E+07;-1481621
-4,359672E+07;4,919133E+07;-1547972
-3,91604E+07;4,90384E+07;-1611145
-3,481672E+07;4,886792E+07;-1670958
-3,05631E+07;4,868086E+07;-1727931
-2,639736E+07;4,847862E+07;-1781279
-2,231685E+07;4,826211E+07;-1831820
-1,831039E+07;4,80321E+07;-1879714
-1,437169E+07;4,778852E+07;-1925467
-1,049988E+07;4,75333E+07;-1969019
-6693887;4,726651E+07;-2010408
-2952677;4,698961E+07;-2049711
725194;4,670274E+07;-2086991
4340838;4,640745E+07;-2121918
7895842;4,610436E+07;-2154762
1,13915E+07;4,579403E+07;-2185344
1,482879E+07;4,547782E+07;-2214036
1,821193E+07;4,515497E+07;-2240563
2,154808E+07;4,48253E+07;-2265899
2,483858E+07;4,448825E+07;-2289813
2,808416E+07;4,414497E+07;-2312136
3,128564E+07;4,379556E+07;-2333355
3,444258E+07;4,344223E+07;-2353174
3,755552E+07;4,30855E+07;-2371681
4,062623E+07;4,272388E+07;-2388732
4,365484E+07;4,235922E+07;-2404452
4,664264E+07;4,199032E+07;-2418782
4,95904E+07;4,161775E+07;-2431734
5,249825E+07;4,124335E+07;-2443256
5,536669E+07;4,086762E+07;-2453386
5,819798E+07;4,048861E+07;-2462438
6,099627E+07;4,010722E+07;-2470564
6,376339E+07;3,972281E+07;-2477685
6,649981E+07;3,933526E+07;-2484298
6,920578E+07;3,894538E+07;-2489989
7,188198E+07;3,855362E+07;-2494792
7,452841E+07;3,815965E+07;-2498921
7,714507E+07;3,776468E+07;-2502245
7,973308E+07;3,736725E+07;-2504620
8,229206E+07;3,696996E+07;-2506279
8,670855E+07;3,627034E+07;-2507345
9,16538E+07;3,546867E+07;-2505703
9,649214E+07;3,466642E+07;-2500625
1,01227E+08;3,386445E+07;-2492657
1,058677E+08;3,30617E+07;-2482041
1,104251E+08;3,22558E+07;-2469717
1,149013E+08;3,144741E+07;-2455705
1,192965E+08;3,063952E+07;-2440023
1,236139E+08;2,983045E+07;-2422515
1,278539E+08;2,902478E+07;-2403590
1,3202E+08;2,82198E+07;-2382776
1,361133E+08;2,741768E+07;-2360506
1,401355E+08;2,661918E+07;-2336584
1,440886E+08;2,58252E+07;-2311095
1,479741E+08;2,503584E+07;-2283541
1,517968E+08;2,425018E+07;-2254899
1,55564E+08;2,346643E+07;-2225615
1,592757E+08;2,268578E+07;-2195538
1,629343E+08;2,190671E+07;-2164793
1,665399E+08;2,113138E+07;-2133308
1,700939E+08;2,035967E+07;-2101084
1,735976E+08;1,959186E+07;-2068150
1,770518E+08;1,882863E+07;-2034550
1,804575E+08;1,806968E+07;-2000558
1,83816E+08;1,731584E+07;-1965400
1,871276E+08;1,656811E+07;-1929748
1,903943E+08;1,58253E+07;-1893476
1,936158E+08;1,508995E+07;-1856524
1,967937E+08;1,436012E+07;-1819032
1,999285E+08;1,363688E+07;-1780522
2,030255E+08;1,291789E+07;-1741654
2,060861E+08;1,220284E+07;-1702730
2,091107E+08;1,149314E+07;-1663832
2,121002E+08;1,07877E+07;-1624858
2,150554E+08;1,008707E+07;-1585896
2,17977E+08;9391100;-1546912
2,20866E+08;8698192;-1507810
2,23722E+08;8011208;-1468264
2,265456E+08;7330536;-1428580
2,293382E+08;6653496;-1389078
2,320993E+08;5983468;-1349504
2,348305E+08;5318424;-1309418
2,375314E+08;4659492;-1269466
2,402025E+08;4007036;-1229654
2,428445E+08;3360444;-1189144
2,454578E+08;2720416;-1149090
2,480425E+08;2086708;-1108642
2,505994E+08;1460280;-1068126
2,537593E+08;685792;-1017516
2,587418E+08;-540784;-936634
2,636326E+08;-1748832;-856626
2,684345E+08;-2937080;-777268
2,731504E+08;-4106432;-699130
2,777821E+08;-5254832;-621492
2,82332E+08;-6382400;-544998
2,868021E+08;-7488744;-469330
2,91194E+08;-8571976;-394138
2,955103E+08;-9632256;-319712
2,997527E+08;-1,067005E+07;-246276
3,039235E+08;-1,168391E+07;-173406
3,080245E+08;-1,267437E+07;-101344
3,120605E+08;-1,364281E+07;-30350
3,160383E+08;-1,459425E+07;39046
3,199593E+08;-1,552767E+07;107596
3,238247E+08;-1,644346E+07;174488
3,276358E+08;-1,734129E+07;239960
3,313939E+08;-1,822034E+07;304190
3,350995E+08;-1,907994E+07;367158
3,38754E+08;-1,992042E+07;428560
