R;P;T
-3,001245E+08;1,408534E+07;3041640
-2,976333E+08;1,49141E+07;3022184
-2,951861E+08;1,571747E+07;3001916
-2,927809E+08;1,649726E+07;2980898
-2,904167E+08;1,725405E+07;2959226
-2,880929E+08;1,798829E+07;2936772
-2,858086E+08;1,870019E+07;2913660
-2,835635E+08;1,93908E+07;2889354
-2,813565E+08;2,006004E+07;2864392
-2,786483E+08;2,086886E+07;2832526
-2,74419E+08;2,210706E+07;2779568
-2,70306E+08;2,328345E+07;2725656
-2,663058E+08;2,440011E+07;2670752
-2,624154E+08;2,545973E+07;2614924
-2,58632E+08;2,64651E+07;2557930
-2,549516E+08;2,741823E+07;2499928
-2,513576E+08;2,832824E+07;2441756
-2,478444E+08;2,919782E+07;2383358
-2,444106E+08;3,002903E+07;2324996
-2,410541E+08;3,082289E+07;2266678
-2,377731E+08;3,158074E+07;2208172
-2,345657E+08;3,23036E+07;2149680
-2,314279E+08;3,29948E+07;2091328
-2,28348E+08;3,36588E+07;2033262
-2,253241E+08;3,429654E+07;1975530
-2,223551E+08;3,490923E+07;1918352
-2,194401E+08;3,549763E+07;1861620
-2,165783E+08;3,60625E+07;1805190
-2,137683E+08;3,660465E+07;1749360
-2,110098E+08;3,712506E+07;1693768
-2,083009E+08;3,7624E+07;1638586
-2,056342E+08;3,810477E+07;1584142
-2,030072E+08;3,856892E+07;1530234
-2,004183E+08;3,901564E+07;1476940
-1,978679E+08;3,944664E+07;1424048
-1,95356E+08;3,986258E+07;1371686
-1,92881E+08;4,02622E+07;1319970
-1,904431E+08;4,064699E+07;1268938
-1,880417E+08;4,101769E+07;1218284
-1,856766E+08;4,137516E+07;1168310
-1,833459E+08;4,171778E+07;1118948
-1,793378E+08;4,22907E+07;1033663
-1,748597E+08;4,290545E+07;938095
-1,704884E+08;4,347724E+07;844945
-1,662221E+08;4,400966E+07;754020
-1,620582E+08;4,450569E+07;665356
-1,579937E+08;4,496586E+07;579049
-1,540259E+08;4,539275E+07;494808
-1,501403E+08;4,578978E+07;412751
-1,463307E+08;4,616024E+07;332452
-1,425958E+08;4,65044E+07;254110
-1,389345E+08;4,682376E+07;177502
-1,353451E+08;4,711974E+07;102920
-1,318261E+08;4,73931E+07;30447
-1,283759E+08;4,764557E+07;-40282
-1,249932E+08;4,787779E+07;-109176
-1,216694E+08;4,809119E+07;-175984
-1,183985E+08;4,828764E+07;-241641
-1,151795E+08;4,846754E+07;-305750
-1,120113E+08;4,863172E+07;-368187
-1,088935E+08;4,878122E+07;-429311
-1,058245E+08;4,891567E+07;-488829,5
-1,028041E+08;4,903735E+07;-546991,5
-9,983126E+07;4,914566E+07;-603754,5
-9,690562E+07;4,924156E+07;-658790,5
-9,402669E+07;4,932554E+07;-712330
-9,119075E+07;4,939823E+07;-764279
-8,839214E+07;4,946064E+07;-815226
-8,56296E+07;4,951263E+07;-865160,5
-8,290298E+07;4,955496E+07;-913932,5
-8,021174E+07;4,958762E+07;-961558,5
-7,755536E+07;4,9612E+07;-1007954
-7,493314E+07;4,96272E+07;-1053478
-7,234467E+07;4,963451E+07;-1097801
-6,978922E+07;4,963355E+07;-1140671
-6,726654E+07;4,962505E+07;-1182620
-6,477626E+07;4,960988E+07;-1223270
-6,231764E+07;4,958755E+07;-1263044
-5,748475E+07;4,952456E+07;-1339417
-5,275618E+07;4,943541E+07;-1411994
-4,812777E+07;4,93239E+07;-1481621
-4,359672E+07;4,919133E+07;-1547972
-3,91604E+07;4,90384E+07;-1611145
-3,481672E+07;4,886792E+07;-1670958
-3,05631E+07;4,868086E+07;-1727931
-2,639736E+07;4,847862E+07;-1781279
-2,231685E+07;4,826211E+07;-1831820
-1,831039E+07;4,80321E+07;-1879714
-1,437169E+07;4,778852E+07;-1925467
-1,049988E+07;4,75333E+07;-1969019
-6693887;4,726651E+07;-2010408
-2952677;4,698961E+07;-2049711
725194;4,670274E+07;-2086991
4340838;4,640745E+07;-2121918
7895842;4,610436E+07;-2154762
1,13915E+07;4,579403E+07;-2185344
1,482879E+07;4,547782E+07;-2214036
1,821193E+07;4,515497E+07;-2240563
2,154808E+07;4,48253E+07;-2265899
2,483858E+07;4,448825E+07;-2289813
2,808416E+07;4,414497E+07;-2312136
3,128564E+07;4,379556E+07;-2333355
3,444258E+07;4,344223E+07;-2353174
3,755552E+07;4,30855E+07;-2371681
4,062623E+07;4,272388E+07;-2388732
4,365484E+07;4,235922E+07;-2404452
4,664264E+07;4,199032E+07;-2418782
4,95904E+07;4,161775E+07;-2431734
5,249825E+07;4,124335E+07;-2443256
5,536669E+07;4,086762E+07;-2453386
5,819798E+07;4,048861E+07;-2462438
6,099627E+07;4,010722E+07;-2470564
6,376339E+07;3,972281E+07;-2477685
6,649981E+07;3,933526E+07;-2484298
6,920578E+07;3,894538E+07;-2489989
7,188198E+07;3,855362E+07;-2494792
7,452841E+07;3,815965E+07;-2498921
7,714507E+07;3,776468E+07;-2502245
7,973308E+07;3,736725E+07;-2504620
8,229206E+07;3,696996E+07;-2506279
8,670855E+07;3,627034E+07;-2507345
9,16538E+07;3,546867E+07;-2505703
9,649214E+07;3,466642E+07;-2500625
1,01227E+08;3,386445E+07;-2492657
1,058677E+08;3,30617E+07;-2482041
1,104251E+08;3,22558E+07;-2469717
1,149013E+08;3,144741E+07;-2455705
1,192965E+08;3,063952E+07;-2440023
1,236139E+08;2,983045E+07;-2422515
1,278539E+08;2,902478E+07;-2403590
1,3202E+08;2,82198E+07;-2382776
1,361133E+08;2,741768E+07;-2360506
1,401355E+08;2,661918E+07;-2336584
1,440886E+08;2,58252E+07;-2311095
1,479741E+08;2,503584E+07;-2283541
1,517968E+08;2,425018E+07;-2254899
1,55564E+08;2,346643E+07;-2225615
1,592757E+08;2,268578E+07;-2195538
1,629343E+08;2,190671E+07;-2164793
1,665399E+08;2,113138E+07;-2133308
1,700939E+08;2,035967E+07;-2101084
1,735976E+08;1,959186E+07;-2068150
1,770518E+08;1,882863E+07;-2034550
1,804575E+08;1,806968E+07;-2000558
1,83816E+08;1,731584E+07;-1965400
1,871276E+08;1,656811E+07;-1929748
1,903943E+08;1,58253E+07;-1893476
1,936158E+08;1,508995E+07;-1856524
1,967937E+08;1,436012E+07;-1819032
1,999285E+08;1,363688E+07;-1780522
2,030255E+08;1,291789E+07;-1741654
2,060861E+08;1,220284E+07;-1702730
2,091107E+08;1,149314E+07;-1663832
2,121002E+08;1,07877E+07;-1624858
2,150554E+08;1,008707E+07;-1585896
2,17977E+08;9391100;-1546912
2,20866E+08;8698192;-1507810
2,23722E+08;8011208;-1468264
2,265456E+08;7330536;-1428580
2,293382E+08;6653496;-1389078
2,320993E+08;5983468;-1349504
2,348305E+08;5318424;-1309418
2,375314E+08;4659492;-1269466
2,402025E+08;4007036;-1229654
2,428445E+08;3360444;-1189144
2,454578E+08;2720416;-1149090
2,480425E+08;2086708;-1108642
2,505994E+08;1460280;-1068126
2,537593E+08;685792;-1017516
2,587418E+08;-540784;-936634
2,636326E+08;-1748832;-856626
2,684345E+08;-2937080;-777268
2,731504E+08;-4106432;-699130
2,777821E+08;-5254832;-621492
2,82332E+08;-6382400;-544998
2,868021E+08;-7488744;-469330
2,91194E+08;-8571976;-394138
2,955103E+08;-9632256;-319712
2,997527E+08;-1,067005E+07;-246276
3,039235E+08;-1,168391E+07;-173406
3,080245E+08;-1,267437E+07;-101344
3,120605E+08;-1,364281E+07;-30350
3,160383E+08;-1,459425E+07;39046
3,199593E+08;-1,552767E+07;107596
3,238247E+08;-1,644346E+07;174488
3,276358E+08;-1,734129E+07;239960
3,313939E+08;-1,822034E+07;304190
3,350995E+08;-1,907994E+07;367158
3,38754E+08;-1,992042E+07;428560
3,423585E+08;-2,07417E+07;488688
3,459148E+08;-2,15445E+07;547574
3,494231E+08;-2,232671E+07;605054
3,528848E+08;-2,30898E+07;661216
3,563012E+08;-2,38331E+07;716004
3,596731E+08;-2,455602E+07;769384
3,630015E+08;-2,525962E+07;821688
3,662873E+08;-2,594283E+07;872536
3,695321E+08;-2,660601E+07;922272
3,727404E+08;-2,725363E+07;970240
3,759137E+08;-2,788618E+07;1016776
3,790522E+08;-2,850222E+07;1061456
3,821567E+08;-2,910179E+07;1104904
3,852278E+08;-2,968692E+07;1146904
3,882662E+08;-3,02554E+07;1187340
3,912723E+08;-3,080746E+07;1226192
3,94247E+08;-3,134382E+07;1263812
3,971907E+08;-3,186418E+07;1299856
4,001038E+08;-3,236764E+07;1334272
4,029875E+08;-3,285548E+07;1367136
4,058416E+08;-3,33263E+07;1398624
4,086672E+08;-3,378085E+07;1428796
4,114645E+08;-3,421886E+07;1457348
4,142346E+08;-3,464111E+07;1484272
4,169772E+08;-3,504626E+07;1509800
4,19693E+08;-3,543455E+07;1533964
4,223832E+08;-3,580795E+07;1556868
4,25047E+08;-3,616282E+07;1577948
4,276863E+08;-3,650279E+07;1597752
4,303003E+08;-3,682489E+07;1616088
4,328922E+08;-3,713298E+07;1632860
4,354628E+08;-3,742741E+07;1648100
4,380133E+08;-3,770951E+07;1662220
4,405432E+08;-3,797756E+07;1674408
4,430534E+08;-3,823234E+07;1685404
4,455434E+08;-3,847266E+07;1694764
4,480144E+08;-3,870054E+07;1702976
4,504659E+08;-3,891414E+07;1709864
4,528991E+08;-3,911561E+07;1714960
4,553135E+08;-3,930233E+07;1719012
4,577098E+08;-3,947602E+07;1721228
4,600882E+08;-3,963582E+07;1722124
4,624491E+08;-3,978214E+07;1721728
4,647927E+08;-3,991554E+07;1719796
4,67119E+08;-4,00346E+07;1716500
4,705791E+08;-4,019091E+07;1708924
4,751363E+08;-4,035171E+07;1693788
4,796294E+08;-4,045658E+07;1673248
4,840611E+08;-4,050928E+07;1646932
4,884324E+08;-4,050562E+07;1615084
4,927458E+08;-4,044821E+07;1577596
4,970041E+08;-4,03369E+07;1534332
5,012148E+08;-4,017956E+07;1485776
5,053797E+08;-3,997704E+07;1432272
5,095003E+08;-3,972858E+07;1373724
5,135774E+08;-3,94341E+07;1309756
5,176129E+08;-3,909461E+07;1240440
5,216071E+08;-3,870886E+07;1166264
5,255615E+08;-3,827683E+07;1086584
5,29477E+08;-3,779842E+07;1001632
5,333552E+08;-3,72741E+07;911464
5,371966E+08;-3,670466E+07;816416
5,410022E+08;-3,608757E+07;715604
5,447733E+08;-3,542526E+07;609840
5,485105E+08;-3,471595E+07;498980
5,522147E+08;-3,39604E+07;382340
5,558874E+08;-3,315979E+07;261024
5,595285E+08;-3,23125E+07;134192
5,60434E+08;-3,209259E+07;101564
5,643494E+08;-3,161418E+07;16612
5,682639E+08;-3,113588E+07;-68319,04
5,721756E+08;-3,065794E+07;-153187,2
5,760824E+08;-3,018059E+07;-237950,7
5,799824E+08;-2,970407E+07;-322567,8
5,838738E+08;-2,92286E+07;-406996,8
5,877546E+08;-2,875443E+07;-491196,5
