R;P;T;RMinus;PMinus;TMinus
21735,3779296875;9253,03698730469;23459,645690918;2;0;2
14877,2567901611;8690,6181640625;15909,7480163574;0;0;2
18975,5264053345;6850,74481201172;20537,0307540894;0;0;0
19316,3748372396;11248,9604492188;19485,6735432943;1;1;1
16362,1866048177;6841,63753255208;18202,7302246094;-1;1;-1
16422,6392059326;10473,7305501302;17714,4908040365;1;1;3
18052,8426106771;10391,8733723958;19680,5436197917;1;1;1
10142,8924153646;6606,46171061198;10832,2409261068;1;-1;1
12029,3112792969;12155,193359375;14262,2932128906;0;0;0
15342,37109375;9228,95025634766;16178,9526367188;2;2;2
4837,64715576172;8504,32781982422;5718,90075683594;2;0;0
13369,2208251953;7571,28466796875;13865,0607910156;0;2;0
3107,77587890625;9187,2080078125;4734,19848632813;0;0;0
8493,08374023438;5742,353515625;9230,12109375;0;0;0
3957,55432128906;6769,02490234375;4507,14569091797;-2;0;-2
6534,56909179688;480,778610229492;6917,87817382813;0;0;0
4764,5234375;678,018981933594;4810,27197265625;-1;1;-1
4461,1240234375;4535,33544921875;4211,767578125;1;1;1
3368,01538085938;1286,66186523438;3429,65551757813;-1;-1;-1
7042,2822265625;5439,51025390625;7055,88427734375;-1;-1;-1
