R;P;T;RMinus;PMinus;TMinus
14649,8546374512;23538,3802832031;7122,00981445312;4;-2;6
13988,4471380615;18547,6383432388;6498,38758850098;-2;12;-4
15927,3026512302;22398,5714033477;6895,10887504111;-1;-9;7
14015,8605532439;18875,9511699677;6778,61946854902;-2;12;-4
16278,1487984035;22977,2687537152;7200,09197699505;6;0;0
14183,1106010105;19972,2699783989;6586,76841901696;0;10;-6
17231,3541932313;25037,3989370595;7011,90717355065;4;0;2
14903,7861898671;21608,5130124299;6499,57662399955;2;6;-6
16580,4136861165;25181,8344794379;6991,80994500054;-3;1;-3
15671,7788425022;22535,3797092014;6402,35810072157;-1;7;-3
17008,3260421753;26890,710271791;6882,03557180804;1;-5;-1
15433,2565597906;25854,6608648533;6817,14851463132;-9;7;-5
17259,078924717;25072,8355118189;7355,51806875376;-3;-1;-3
19203,0322216137;28448,8528689823;7122,26316441716;-7;1;-9
18472,589790138;23332,8635748786;7392,93549367544;3;-5;-5
15057,2576760186;25062,5309872097;7179,91159439087;-4;2;-10
15314,7794672648;22087,4646419949;7148,02031008403;-2;-10;-4
14423,5427394194;23141,7762056239;7304,8728871065;-6;4;-6
14972,568759245;21036,7497253418;7287,70529780668;0;-8;-2
16228,0130430279;22831,7539978027;7541,22361200506;-7;1;-7
15219,6501594312;20668,164887226;7018,12882255785;1;-7;-3
16793,8385046757;21399,0472392458;7392,33184167111;-11;7;-5
13369,7763622168;19677,7941136216;6952,59661217892;-3;-7;-1
12352,4125541918;19482,8439164595;7070,56038550175;-3;5;-5
12647,9297522343;19605,2989612926;6569,18808515144;5;-9;1
13516,0510884603;22880,7078369141;7622,00139058431;-6;6;-6
14956,7152099609;20463,3990948995;7084,22423350016;2;-4;0
12612,8408673604;21634,5180135091;6805,86774207751;-6;6;-2
14198,9815887451;18900,0550370534;7017,74510993957;4;-4;-2
10339,2699025472;19836,8440409342;6432,42487169902;-6;4;-2
16256,5115443638;21650,7238333566;7128,30674743652;0;-12;-4
12116,649597168;18242,0345611572;6211,70212527684;-8;2;-4
17983,4722596577;22020,0011117118;7037,90175397055;4;-10;-6
15196,1977527325;18410,1917158274;5808,93609736516;-2;0;-4
20388,6391836313;23273,3432429387;6877,09227605966;2;-14;-6
13260,5517167311;17815,3776432918;5245,72912480281;-8;-6;-2
18320,9401974487;21667,1436254883;6742,69548339844;1;-9;-3
13209,3788195801;19113,1907226563;4835,09395751953;-1;-5;-1
18453,5618237305;16937,8211437988;6022,27332946777;-3;-11;-3
13591,4232324219;17051,286796875;4366,76284179688;1;-1;-1
14760,421751709;15025,7328637695;5049,10109436035;-3;-13;-3
10364,0123456319;17344,1352316539;3749,68436177572;-10;0;0
14489,4162495931;14791,8270403544;4418,99454625448;-4;-8;-6
12775,2712693648;16557,2107516202;3924,02238221602;-10;0;0
14402,4186459496;15221,3947637649;4072,4151843843;-1;-7;-7
9485,95658075242;15475,1580781483;3394,93354143415;-1;3;1
10503,5597900391;13831,0215942383;3318,78438415527;2;-8;-4
10504,5346711811;16903,485406976;3263,29484638415;-9;-1;1
8012,25974313836;10568,5578741776;3067,648863943;-3;-9;-5
10522,4692687988;16043,2104299445;3247,69902615798;-3;3;1
5830,97699376156;12456,029219778;2799,98582779734;-3;-1;-3
13570,1118469238;14781,1548258464;3571,67141554091;4;0;0
12743,1148573932;15436,6993767233;2744,88614721859;-1;-1;-1
11507,0062022209;15875,3581447601;4032,68859481812;0;-2;-2
11210,5873680115;15728,0660858154;2672,36387109756;0;0;-2
14360,9481430054;16295,4131965637;4339,08794403076;-2;2;-2
12625,706535848;17532,1706705729;2778,7600402832;-5;-7;-1
11729,5274943034;14508,026188151;4387,59256540934;5;1;-1
15522,7201592582;15107,3835545949;2542,90627179827;2;-4;-2
12700,5693003337;14634,0725097656;5066,01562627157;-4;2;-2
16973,2814127604;16760,1987279256;2387,66384124756;-2;-6;-2
10728,417952104;12237,6752041903;4831,74848062342;-5;-1;1
18552,8333296342;16153,4609375;3189,77542114258;-3;-3;1
12007,7726384943;13373,2483354048;4690,36512201483;-1;-3;1
16837,2961398038;17316,9215198864;3028,48683027788;-1;-1;1
13673,3619717685;14265,1923939098;4027,42218988592;-5;1;1
18833,6761962891;17807,5935546875;3027,43244628906;2;-2;2
12739,1574890137;13323,5197387695;4000,4009185791;2;2;2
19190,1807128906;18160,9100585937;3089,3921081543;0;-2;4
15657,0189941406;7950,13285827637;3923,4062953949;0;6;2
17747,0842895508;16959,3764404297;3403,23687744141;-4;0;2
11129,0968994141;10710,4077148438;3467,99602355957;-2;4;4
14639,1285552979;16246,3130371094;3871,40173339844;0;-2;4
12811,5163238525;14729,0266357422;3256,87633056641;4;2;4
18849,2333870888;16664,3867919922;4393,01908569336;-2;-2;2
12063,3131591797;15615,9297363281;2779,81861724854;0;2;4
15824,1309234619;16314,405871582;5144,87922668457;0;-2;2
12123,5430541992;14579,8398681641;2814,84132194519;0;4;6
13235,3035549588;17715,5982937283;5573,24588351779;-3;-3;1
17056,5306532118;15743,2387084961;3188,11258273654;-3;1;5
21306,3549804688;19034,850402832;6736,16976165771;-4;-4;2
21249,9555664063;17682,3129882813;3949,71705245972;-2;0;6
21219,1630249023;18536,4519882202;5926,81684112549;-4;0;2
