R;P;T;RMinus;PMinus;TMinus
26669,3951076708;26065,4895921296;26587,2311452662;-263;-213;-241
26743,7246470427;26055,7094690001;26636,6846843519;-267;-229;-265
25950,5574069582;25480,575638465;25950,2877957485;-271;-221;-261
26692,6101015282;25874,074099667;26457,0259849924;-277;-241;-281
25701,8453748667;25271,1038178701;25798,3963133661;-277;-221;-255
25731,5337689146;25167,8137990501;25658,1618677732;-285;-233;-273
25825,7651663863;25454,7509385839;25794,5913290848;-261;-227;-259
25755,6057015178;24930,145632875;25705,2812300781;-263;-203;-249
25428,3563963885;24778,3214632206;25369,0821540279;-237;-189;-233
25711,2733017091;24746,388537292;25486,7820248499;-231;-203;-225
25734,2933228303;24888,3987643593;25516,8815586757;-235;-199;-227
25408,7139412276;24386,5445754759;25162,2682276986;-225;-197;-231
25359,5906621742;24440,7518729645;25236,3941666938;-207;-173;-197
24899,9527553111;23754,2601667705;24615,1683264378;-219;-183;-221
25100,4018244565;23984,6559167418;24775,9775258179;-207;-171;-207
24894,1911106077;23600,9142478917;24389,4231916858;-229;-191;-215
24641,8023448225;23802,18925876;24309,951928856;-239;-201;-231
24312,7524346706;23194,5918390893;23757,7531014938;-225;-205;-211
24269,7118520559;23582,598993881;23970,8770459957;-241;-189;-223
23675,4196819571;22722,6845602738;23172,1450059499;-231;-185;-223
23405,8546750598;22554,5535847811;23145,5904746841;-245;-197;-237
23058,1682030414;22158,3720817501;22868,6685402746;-269;-243;-251
23150,1228745206;22193,4269457819;22893,8157946161;-255;-201;-255
22934,2866083997;21809,4012893732;22841,4623032555;-257;-213;-245
23091,3482280271;22205,1195573791;23120,6442506852;-265;-211;-247
22533,7192087805;21872,2788967592;22642,2696910131;-271;-229;-271
22398,7819972799;21540,7805724508;22454,3325518623;-259;-205;-249
21953,2792016662;20979,2018278471;21933,5586787242;-265;-209;-245
21897,672094358;21261,7744619632;22061,0468399197;-253;-201;-241
21733,7652634846;20688,2062849391;21696,6493494847;-285;-225;-273
21645,6722659385;20759,6556125699;21681,2811946901;-261;-211;-257
20777,8974339173;19898,5634909664;20828,9587333304;-251;-199;-231
21055,2500736386;20032,5483550248;21184,6055152906;-243;-193;-225
20451,0647438192;19497,722450687;20515,6292949605;-225;-189;-209
20663,7143994511;19638,57303587;20804,2947355313;-231;-189;-215
20200,5098771021;19210,4622807252;20215,3839445357;-229;-173;-207
19986,9543243564;19090,7661353526;20006,4326088282;-235;-175;-205
19352,2444391866;18482,4606205385;19336,7169400249;-209;-169;-183
19827,8963607568;18966,6226864541;19833,8468552931;-241;-197;-223
19333,564797892;18493,7138289337;19296,6479214796;-225;-177;-205
19962,0647577697;19244,4821834338;19899,8971921341;-229;-195;-227
19164,5130342441;18352,5418437252;19074,6918141312;-229;-201;-221
19220,4876131663;18418,2694637318;19207,6815059383;-243;-219;-229
18489,7354391605;17704,1133540596;18362,2119277021;-249;-229;-241
18416,8212781317;17793,1789255644;18506,8874615603;-251;-209;-237
17826,0576156849;17217,3740354839;17821,6063156905;-233;-201;-225
18173,3150259837;17523,5190205663;18194,4516273207;-237;-187;-227
17633,0004644483;17040,1707662637;17598,6284755843;-213;-185;-201
17399,3366271118;16959,0002046757;17387,8801777683;-247;-185;-223
16933,7041382522;16454,8517764339;16934,6121723583;-203;-153;-185
16958,4919898611;16526,6657002875;16941,2858902522;-219;-183;-215
16690,8283667184;16132,725585251;16537,878492119;-191;-145;-193
16962,3565304243;16500,0629964288;16876,6367161658;-201;-167;-195
16758,2171447706;16271,4440071287;16587,9466951335;-163;-109;-155
16771,1653835834;16184,1153580126;16740,7666641067;-159;-145;-155
16810,4982505371;16120,4444403656;16561,2941452441;-131;-103;-121
16928,6033381736;16286,4154318112;16777,4056790454;-147;-127;-135
16516,2525544709;15950,2643053722;16412,7353220749;-143;-73;-117
16478,4012107169;15955,3912688144;16282,8320930623;-135;-91;-127
16314,3012778213;15794,3156183156;16051,6078572621;-107;-65;-109
16387,2403176248;15791,7824123517;16299,4504133914;-145;-121;-145
16345,5979711924;15709,6324649246;16167,7947963851;-137;-101;-113
16601,3247578852;16000,7671106141;16417,0513980409;-173;-129;-163
16303,1432296805;15685,7929231534;16059,5821749067;-147;-109;-149
16269,1837913776;15787,4013484055;16160,0705204706;-167;-131;-153
16008,8979398083;15416,6178242112;15829,054283725;-153;-127;-143
15761,145283446;15295,9444771997;15590,5670592379;-182;-148;-152
15418,9253878228;14884,3917907117;15217,7848871124;-161;-117;-145
15406,460661924;14857,8081256414;15252,2392015135;-175;-131;-163
14747,0880896294;14224,5973636403;14486,1009642789;-164;-122;-172
14945,0191131646;14361,238470064;14685,4799185799;-213;-175;-207
14571,9033411995;14133,6290176701;14329,7837691837;-179;-151;-175
14744,1931646527;14095,6770145818;14662,7319309213;-217;-185;-209
14573,6617791878;13897,192927868;14410,6637793199;-208;-176;-202
15082,7593898336;14387,7228983595;14957,5361970727;-232;-208;-222
14115,3242943557;13538,0558312063;13863,8300204067;-191;-173;-179
14798,5350331688;13954,4237050586;14673,2226144986;-233;-209;-221
14398,0346953;13700,7959075011;14229,9599466532;-204;-174;-198
14758,8732851457;13840,9356785264;14598,0387166859;-234;-200;-226
14273,4239770093;13621,5532578848;14124,3444061464;-177;-163;-173
14769,3530495927;13948,8114761158;14627,08936592;-225;-195;-211
14015,5055746316;13274,4502785075;13886,4385554495;-191;-179;-195
14501,2419325699;13715,1036304346;14377,4415836221;-203;-185;-197
14143,7236006213;13527,646241139;13987,6713897796;-188;-164;-182
14277,2888255771;13417,7176754394;14165,4629412358;-199;-193;-195
13798,4464726373;12941,289966486;13640,131506427;-175;-153;-165
14061,4166092782;13252,0959309115;13979,7669025534;-191;-175;-177
13789,3905223053;13087,649676728;13613,8161710361;-167;-139;-159
13894,8319355382;13173,6016032052;13728,3850385878;-168;-138;-154
13444,6367031613;12645,8523561921;13256,1466324126;-159;-131;-139
13935,883406546;13168,4185012536;13768,7377300802;-186;-148;-162
13352,2905101206;12578,0718427939;13191,3279160123;-142;-114;-136
13147,905741608;12235,2079787995;12966,9071674765;-168;-150;-162
12422,5522933747;11674,6829144052;12281,9989154823;-126;-96;-130
12495,9795838143;11668,4651470336;12395,1711905126;-132;-124;-134
12039,6122515933;11295,2497786678;11854,3689706506;-88;-80;-78
11789,438372888;11167,2185075193;11642,0028302198;-115;-85;-109
11371,6069439795;10788,3293244168;11292,7650798029;-49;-45;-47
11553,3334196091;10825,4687141631;11540,2021725388;-96;-74;-92
11463,8014890747;10766,0774704783;11347,7210276241;-60;-42;-58
11658,2150155497;10997,7111544952;11518,1990921516;-90;-62;-84
11261,6991367915;10556,1760894975;11060,0257549303;-44;-20;-32
11617,5302666584;10884,8685114144;11386,9105293703;-72;-56;-60
11563,5890170599;10941,5704959961;11316,8680415019;-44;-16;-34
11474,798141242;10817,636784971;11312,7085999945;-68;-44;-50
11121,4723226871;10569,4684143928;11007,9826777565;-38;-30;-32
11373,2773516725;10777,1656348285;11162,8473253772;-95;-77;-79
11348,6875719337;10691,3014075118;11025,8759483879;-82;-52;-58
11378,7020263355;10711,9413376161;11161,335185738;-106;-90;-98
10842,982322637;10262,5774443514;10556,8570431925;-96;-78;-90
11062,4027064508;10594,6237651761;10897,5512963143;-96;-82;-86
10745,8644519677;10175,4254764203;10504,8708368153;-98;-80;-86
10673,7079353232;10094,2848558064;10524,1084668526;-120;-86;-102
10205,9113536922;9713,13773877912;10094,5691375893;-78;-68;-66
10061,4202668662;9570,807456136;9901,63090253534;-79;-57;-63
9540,60744209001;9088,67377674115;9393,61359980612;-76;-66;-76
9127,39571288795;8662,39581902335;8963,76750034524;-97;-75;-89
8549,62633042642;8173,14161503659;8379,00254166258;-89;-67;-77
8447,81576337029;7979,49676771276;8267,98265785666;-121;-101;-109
8232,76808156504;7876,75158430914;8103,10115184663;-123;-99;-113
8317,70804576821;7882,65940249929;8145,64580602832;-139;-131;-127
7821,15161226859;7525,66930865685;7599,54548858554;-107;-101;-107
7611,54757592186;7196,62563075111;7355,61085121897;-137;-113;-129
7210,2290108285;6904,20765891854;7041,36222927587;-120;-98;-106
7541,22323850646;6964,85064860156;7361,94416494613;-114;-110;-110
7265,46169001487;6959,88667986286;7122,14160893568;-96;-78;-80
7664,44627585544;7022,53987392106;7479,12607565344;-123;-101;-111
