R;P;T;RMinus;PMinus;TMinus
495,313863372803;377,784115219116;791,117346954346;-3;1;-5
1952,43660888672;2106,88135986328;1613,21000976563;-3;-3;-3
1633,88220748901;2003,04617919922;1650,67381591797;1;1;-1
1267,8376739502;1132,70035400391;1309,6099899292;1;1;3
1762,76052246094;2071,81235351563;1352,92222900391;3;3;3
1470,46804351807;1792,39513092041;1234,90256958008;-1;1;-1
903,3512550354;1058,76997375488;1218,0400390625;3;5;1
1391,16569824219;1677,19191894531;953,643200683594;-3;-3;-3
1148,12868347168;1485,49757080078;873,546502685547;-1;-1;-1
1145,48954162598;1506,57517700195;1199,62084350586;-3;-3;-1
1284,41519775391;1590,26145019531;922,034155273437;3;3;3
1310,85053710937;1587,47491455078;1123,5697265625;1;1;3
831,734628677368;1150,2286491394;1015,88708782196;4;4;0
687,748353004456;1002,349609375;652,448249816895;-2;-2;2
1222,06126403809;1570,22674560547;894,643737792969;2;2;2
992,939002990723;1250,49594116211;1094,42469787598;-2;-2;0
701,777918815613;828,903884887695;1019,8232421875;-4;0;-4
1141,25541687012;1135,25201034546;1011,26858520508;-2;-2;-2
1599,26260375977;1821,87731933594;1330,67752075195;0;0;-2
1264,86595916748;1495,51336669922;1142,64770507813;-4;-4;-2
732,623832702637;728,854248046875;581,632461547852;-2;-2;-2
732,375995635986;840,539214134216;458,367164611816;-4;-4;-2
621,853454589844;436,392578125;885,662994384766;-2;-2;-2
1632,84703063965;1778,56385803223;1465,08575439453;-2;-2;-2
1558,13529968262;1627,27783966064;1748,23804473877;-2;0;-2
2011,06685384115;2210,115234375;1731,53529866536;-1;-1;-1
970,73154703776;1017,54629516602;1213,08069864909;1;3;1
1926,46887207031;1973,44783528646;1657,17236328125;1;1;1
1413,98541259766;1288,79181925456;1641,01501464844;1;1;1
1211,8093363444;1191,67332458496;971,90491549174;1;1;-1
1031,6948445638;808,466466267904;1224,81227620443;-3;-3;-3
581,351348876953;845,692367553711;801,089752197266;-2;-2;0
427,27473449707;769,932769775391;393,375289916992;2;2;0
2215,15686035156;2309,08581542969;1979,78051757813;0;0;0
1238,79693603516;1196,24906921387;1485,53405761719;0;0;0
223,089900970459;247,596740722656;307,185928344727;0;0;2
571,94115447998;584,169551849365;426,245018005371;0;2;0
660,797973632813;487,336227416992;742,609649658203;2;2;2
326,413047790527;270,096501111984;181,875827789307;0;2;0
421,550201416016;436,042007446289;362,578811645508;-2;-2;-2
197,18399810791;204,182052612305;312,454360961914;0;0;0
842,674713134766;890,329254150391;912,874572753906;0;0;0
1269,54766845703;1195,32919311523;1162,44329833984;0;0;0
323,064138412476;318,661178588867;354,735977172852;2;0;2
508,23176574707;407,527446746826;373,835708618164;0;0;0
139,035005569458;207,237945556641;211,057323455811;2;0;2
741,894287109375;758,203720092773;750,380645751953;-2;-2;-2
1308,51843261719;1441,83554077148;1316,3013381958;-2;-2;-2
1676,53826904297;1682,4755859375;1702,71301269531;0;0;0
595,919372558594;753,500366210938;597,510345458984;0;0;0
1232,19689941406;1441,20562744141;1276,92614746094;0;0;0
