R;P;T;RMinus;PMinus;TMinus
20430,1088382251;9537,36213007365;4736,43337875523;-19;3;7
20081,559626122;9284,22495447446;4820,76140636287;-7;-11;-15
19145,3361884764;9215,17135583538;4618,13056606789;-13;3;5
17847,7963704148;9002,04303404403;4720,4370651637;-13;-11;-11
18218,6194014876;8833,38251542392;4462,45391375398;-9;7;7
17097,4169403494;8554,66515371244;4596,90480412522;-7;-7;-11
17322,1732077403;8382,50742967161;4376,65448416096;-17;5;7
16554,5816008685;8130,29582872783;4507,89055320008;7;-1;-11
16733,6745197871;7914,5883993384;4282,38892939319;-21;-1;5
15649,2589899351;7862,08717787756;4418,18184450228;-9;-5;-11
16442,1377805553;7699,05666105715;4210,69132326727;-19;1;5
16368,3230593956;7585,48284820661;4319,99453103052;-5;-7;-11
14575,7673874946;7560,61617493303;4079,92469340155;-13;1;3
15682,4108995411;7365,0706137827;4193,23745382649;-5;-1;-11
16589,8291324981;7278,98670306271;4002,57099154224;-13;7;5
16319,5387432151;7201,278610334;4074,62501105217;-3;-7;-7
16251,1975735181;6997,27765718225;3963,66946335361;-15;5;-1
15934,2175025417;7079,58531042648;4030,07581601078;3;-5;-7
16555,9875998301;6949,75452475352;3855,15305607939;-17;1;1
16373,8386096693;7009,95109437916;3914,68242096574;3;-1;-7
16077,8948692426;7017,56994091975;3772,43092792981;-19;-1;1
16817,1744614693;6961,40298749323;3847,87959671021;-7;-3;-9
16060,5364396605;6946,91785164402;3684,61667647427;-21;-1;1
16019,3026702045;6973,01920258509;3763,72084567971;7;1;-7
16815,0502835626;6867,97944795269;3604,75791795286;-21;-3;5
15776,9804470115;7009,72830090457;3676,62869563168;-1;-3;-9
16158,1200732924;6881,28595801576;3493,87077227031;-15;-3;5
16000,7245947433;6864,95794014082;3558,30283357672;9;-1;-7
15148,7731737111;6841,71179549335;3411,0927332656;-23;-1;3
14154,6039194603;6909,39644375893;3453,38409481718;-3;1;-7
14962,3071144836;6838,38030052185;3367,25227726976;-21;3;3
14757,2640531357;6850,79478697372;3396,08493206599;-1;3;-5
15194,1208644501;6834,70166234448;3275,56576121343;-23;1;3
13150,757018651;6932,11258287299;3344,22472883904;-1;5;-3
15051,2224850125;6829,61316316658;3299,69932868746;-16;4;-8
14683,4291771783;6923,92484103309;3356,65155863762;0;4;2
15124,4906715817;6815,77547873391;3251,77429508501;-24;0;-6
