X;Y;X;Y
;;-3,36E+08;598120
;;-3,36E+08;941408
;;-3,35E+08;1280776
;;-3,34E+08;1616624
;;-3,33E+08;1949056
;;-3,32E+08;2278336
;;-3,31E+08;2603640
;;-3,31E+08;2925552
;;-3,30E+08;3244136
;;-3,29E+08;3559416
;;-3,28E+08;3871352
;;-3,27E+08;4180016
;;-3,27E+08;4485392
;;-3,26E+08;4787568
;;-3,25E+08;5086232
;;-3,24E+08;5381744
;;-3,24E+08;5673784
;;-3,23E+08;5962984
;;-3,22E+08;6249112
;;-3,21E+08;6532112
;;-3,21E+08;6811784
;;-3,20E+08;7088696
;;-3,19E+08;7362584
;;-3,18E+08;7633472
;;-3,18E+08;7901064
;;-3,17E+08;8166480
;;-3,16E+08;8429456
;;-3,16E+08;8690032
;;-3,15E+08;8948584
;;-3,14E+08;9204752
;;-3,13E+08;9458616
;;-3,13E+08;9710168
;;-3,12E+08;9959424
;;-3,11E+08;1,02E+07
;;-3,11E+08;1,05E+07
;;-3,10E+08;1,07E+07
;;-3,09E+08;1,09E+07
;;-3,09E+08;1,12E+07
;;-3,08E+08;1,14E+07
;;-3,07E+08;1,16E+07
;;-3,07E+08;1,19E+07
;;-3,06E+08;1,21E+07
;;-3,05E+08;1,23E+07
;;-3,05E+08;1,26E+07
;;-3,04E+08;1,28E+07
;;-3,03E+08;1,30E+07
;;-3,03E+08;1,32E+07
;;-3,02E+08;1,34E+07
;;-3,01E+08;1,37E+07
;;-3,01E+08;1,39E+07
;;-3,00E+08;1,41E+07
;;-2,99E+08;1,43E+07
;;-2,99E+08;1,45E+07
;;-2,98E+08;1,47E+07
;;-2,98E+08;1,49E+07
;;-2,97E+08;1,51E+07
;;-2,96E+08;1,53E+07
;;-2,96E+08;1,55E+07
;;-2,95E+08;1,57E+07
;;-2,95E+08;1,59E+07
;;-2,94E+08;1,61E+07
;;-2,93E+08;1,63E+07
;;-2,93E+08;1,65E+07
;;-2,92E+08;1,67E+07
;;-2,92E+08;1,69E+07
;;-2,91E+08;1,71E+07
;;-2,90E+08;1,73E+07
;;-2,90E+08;1,74E+07
;;-2,89E+08;1,76E+07
;;-2,89E+08;1,78E+07
;;-2,88E+08;1,80E+07
;;-2,88E+08;1,82E+07
;;-2,87E+08;1,83E+07
;;-2,86E+08;1,85E+07
;;-2,86E+08;1,87E+07
;;-2,85E+08;1,89E+07
;;-2,85E+08;1,90E+07
;;-2,84E+08;1,92E+07
;;-2,84E+08;1,94E+07
;;-2,83E+08;1,96E+07
;;-2,82E+08;1,97E+07
;;-2,82E+08;1,99E+07
;;-2,81E+08;2,01E+07
;;-2,81E+08;2,02E+07
;;-2,80E+08;2,04E+07
;;-2,80E+08;2,05E+07
;;-2,79E+08;2,09E+07
;;-2,78E+08;2,12E+07
;;-2,77E+08;2,15E+07
;;-2,75E+08;2,18E+07
;;-2,74E+08;2,21E+07
;;-2,73E+08;2,24E+07
;;-2,72E+08;2,27E+07
;;-2,71E+08;2,30E+07
;;-2,70E+08;2,33E+07
;;-2,69E+08;2,36E+07
;;-2,68E+08;2,38E+07
;;-2,67E+08;2,41E+07
;;-2,66E+08;2,44E+07
;;-2,65E+08;2,47E+07
;;-2,64E+08;2,49E+07
;;-2,63E+08;2,52E+07
;;-2,62E+08;2,55E+07
;;-2,61E+08;2,57E+07
;;-2,61E+08;2,60E+07
;;-2,60E+08;2,62E+07
;;-2,59E+08;2,65E+07
;;-2,58E+08;2,67E+07
;;-2,57E+08;2,69E+07
;;-2,56E+08;2,72E+07
;;-2,55E+08;2,74E+07
;;-2,54E+08;2,76E+07
;;-2,53E+08;2,79E+07
;;-2,52E+08;2,81E+07
;;-2,51E+08;2,83E+07
;;-2,50E+08;2,85E+07
;;-2,50E+08;2,88E+07
;;-2,49E+08;2,90E+07
;;-2,48E+08;2,92E+07
;;-2,47E+08;2,94E+07
;;-2,46E+08;2,96E+07
;;-2,45E+08;2,98E+07
;;-2,44E+08;3,00E+07
;;-2,44E+08;3,02E+07
;;-2,43E+08;3,04E+07
;;-2,42E+08;3,06E+07
;;-2,41E+08;3,08E+07
;;-2,40E+08;3,10E+07
;;-2,39E+08;3,12E+07
;;-2,39E+08;3,14E+07
;;-2,38E+08;3,16E+07
;;-2,37E+08;3,18E+07
;;-2,36E+08;3,19E+07
;;-2,35E+08;3,21E+07
;;-2,35E+08;3,23E+07
;;-2,34E+08;3,25E+07
;;-2,33E+08;3,27E+07
;;-2,32E+08;3,28E+07
;;-2,31E+08;3,30E+07
;;-2,31E+08;3,32E+07
;;-2,30E+08;3,33E+07
;;-2,29E+08;3,35E+07
;;-2,28E+08;3,37E+07
;;-2,28E+08;3,38E+07
;;-2,27E+08;3,40E+07
;;-2,26E+08;3,41E+07
;;-2,25E+08;3,43E+07
;;-2,25E+08;3,45E+07
;;-2,24E+08;3,46E+07
;;-2,23E+08;3,48E+07
;;-2,22E+08;3,49E+07
;;-2,22E+08;3,51E+07
;;-2,21E+08;3,52E+07
;;-2,20E+08;3,54E+07
;;-2,19E+08;3,55E+07
;;-2,19E+08;3,56E+07
;;-2,18E+08;3,58E+07
;;-2,17E+08;3,59E+07
;;-2,17E+08;3,61E+07
;;-2,16E+08;3,62E+07
;;-2,15E+08;3,63E+07
;;-2,14E+08;3,65E+07
;;-2,14E+08;3,66E+07
;;-2,13E+08;3,67E+07
;;-2,12E+08;3,69E+07
;;-2,12E+08;3,70E+07
;;-2,11E+08;3,71E+07
;;-2,10E+08;3,73E+07
;;-2,10E+08;3,74E+07
;;-2,09E+08;3,75E+07
;;-2,08E+08;3,76E+07
;;-2,08E+08;3,77E+07
;;-2,07E+08;3,79E+07
;;-2,06E+08;3,80E+07
;;-2,06E+08;3,81E+07
;;-2,05E+08;3,82E+07
;;-2,04E+08;3,83E+07
;;-2,04E+08;3,85E+07
;;-2,03E+08;3,86E+07
;;-2,02E+08;3,87E+07
;;-2,02E+08;3,88E+07
;;-2,01E+08;3,89E+07
;;-2,00E+08;3,90E+07
;;-2,00E+08;3,91E+07
;;-1,99E+08;3,92E+07
;;-1,99E+08;3,93E+07
;;-1,98E+08;3,94E+07
;;-1,97E+08;3,96E+07
;;-1,97E+08;3,97E+07
;;-1,96E+08;3,98E+07
;;-1,95E+08;3,99E+07
;;-1,95E+08;4,00E+07
;;-1,94E+08;4,01E+07
;;-1,93E+08;4,02E+07
;;-1,93E+08;4,03E+07
;;-1,92E+08;4,04E+07
;;-1,92E+08;4,05E+07
;;-1,91E+08;4,06E+07
;;-1,90E+08;4,06E+07
;;-1,90E+08;4,07E+07
;;-1,89E+08;4,08E+07
;;-1,89E+08;4,09E+07
;;-1,88E+08;4,10E+07
;;-1,87E+08;4,11E+07
;;-1,87E+08;4,12E+07
;;-1,86E+08;4,13E+07
;;-1,86E+08;4,14E+07
;;-1,85E+08;4,15E+07
;;-1,85E+08;4,15E+07
;;-1,84E+08;4,16E+07
;;-1,83E+08;4,17E+07
;;-1,83E+08;4,18E+07
;;-1,82E+08;4,20E+07
;;-1,80E+08;4,21E+07
