R;P;T
11568,032417665;26602,040952416;12427,086129473
11475,037346158;25734,7191741891;12411,148950386
11026,8759257296;26343,7556137829;12151,7835074218
10715,4662251795;24998,2496678043;11694,0176660078
10667,0748363681;26085,0413479098;11559,5183634932
10094,951274884;24925,0390186599;11158,1430383073
10110,2337453862;25159,5505945002;11140,3983358423
9759,00453734135;24077,8958336108;10604,4456049968
10280,511169972;25045,2953970893;10490,71779401
9966,82576040476;23833,5227233655;10633,7146389234
10270,9123136264;24317,6139213808;10514,3831867727
9841,34693737957;22924,5623114268;10157,2085357063
9981,18877469198;24071,1529754008;10036,1362688495
10027,9943418117;23022,2781107329;9900,14710217174
9839,80859458113;24078,0412392796;9656,45985803391
9751,87938045689;23028,0338458295;9630,40714469723
9634,02687229381;23805,8930282058;9809,28968062006
9573,67287712846;23075,5626976233;9506,90350113243
9377,53528931097;23720,4713136371;9953,88208300419
9524,76611733035;23086,6553918753;9711,1147657894
9234,57189762488;24235,992623597;10045,3629834464
9275,72818274444;23202,4629193102;9937,35411414604
8813,41576507922;23302,8626661944;9821,41992264249
8947,43570533516;22690,3413318924;9826,88128126057
8742,60995690937;23246,1261404813;9459,06566327238
9043,5567312739;22269,8211002633;9529,70812090103
8797,52022014904;22984,3966086005;9476,563809904
8856,14004075864;22699,3156077202;9541,77360982056
8671,76458161522;22730,1612566851;9453,2945440058
9117,35769962489;21956,628246329;9209,10283585603
8676,0905683887;22428,9397671172;9257,31876479585
9140,30730289026;22263,0177967531;9164,72046727525
8672,43415550351;22777,0236511665;9412,03709130674
8853,45898333202;22554,1065583726;8984,73340130805
8568,85579627232;22936,1506447417;9695,17666665389
8964,91928709764;22602,2990862965;8767,93173880843
8526,24029281321;23209,4152473931;9506,7834299914
8536,7766269153;22509,6936381489;8617,77169974394
8135,38639696142;22857,2970751865;8979,40354042954
8241,44898489465;22545,7059741041;8420,24761541902
8261,9540631802;22684,0038249799;8855,60474097677
8350,43311439999;22263,0003155621;8185,62989516761
8510,71976285442;22906,9441318705;8830,13832958849
8180,84018066676;21808,0863478263;8145,02547531535
8049,38929331664;21995,4242720418;8534,46373763573
7818,94599919643;21068,7960436492;7915,20456041333
7826,00411055223;21526,0647693435;8288,170164691
7757,68970153637;20417,7488628875;7645,50973826231
7578,01594201677;20732,7751753143;7784,12948943297
7336,84934730137;19804,2942411664;7167,56410660787
7000,45384069667;19866,8354263909;7632,75854927732
7462,98578928429;19340,7073858873;7284,48913140209
7160,75489652604;19621,2770207405;7411,45069181714
7569,47026050186;19252,3955507748;7313,43281906322
7408,49234467937;19751,2387005744;7487,35581506145
7651,09844540698;18717,3334631579;7425,2698176
7356,75547243723;19413,8504452051;7473,74896363417
7420,94544444631;19379,3715352856;7328,55603946154
7538,23910583746;19792,6936677901;7500,00735496771
7328,42798728113;19401,2576987606;6988,06477588973
7501,12381360156;19846,4731357984;7173,46506389173
6984,62001052049;19040,9723194432;6963,46069599424
7146,96570011775;19986,298700037;7158,34547524532
6688,82059265735;19218,1163456799;6801,40312312004
6839,07957917612;19624,1523402281;7114,25803382085
6551,89733008056;18934,9116640203;6595,84943040519
6827,75424797956;19404,589627298;6781,63679387149
6515,44718260075;18701,1634914193;6381,99882551315
6646,11190777212;19587,8265697972;6666,33656842805
6244,80487446051;18304,5183912429;6023,414166179
6829,64784638518;19501,2959576768;6638,68283462524
6144,85256027852;18362,0303258993;6046,91426424899
6454,62873733469;18345,3731619895;6026,49964026563
6260,80234838343;17442,7757692726;5614,59675224095
6136,5465120067;17801,2053243679;5667,18285903979
5857,54314491285;17136,721043447;5513,92471836289
5980,11622595502;16888,004012354;5588,39441148562
5987,55752838638;16475,6173268426;5387,15532322697
5815,23053805267;16705,0292848682;5292,40673390225
5932,53007007874;16783,1840364319;5497,34268968908
5737,04784187531;17161,2968169393;5588,76809232728
5895,52785839365;16835,7224496382;5550,6580137942
5734,1735544302;17233,6764837371;5562,52695923547
5809,82870533897;17190,9004150079;5588,18429617418
5697,50588402607;17046,1089448118;5487,06932028569
5724,90012738021;16796,8072290048;5343,82386518228
5714,8573674354;16925,9875901008;5570,78750236669
5991,63073459104;16856,7995147485;5603,46753816029
5723,37682678618;16676,8892866759;5520,47265468727
5758,22865140245;16099,7566632657;5366,1220597323
5456,52566305451;16564,1198739729;5365,93315129263
5417,700148983;15874,5417232175;5159,26398328608
4855,53494494221;15791,930009835;4843,02096066735
4843,732951387;15116,8377118145;4463,5113095863
4587,71296988671;15169,1279819034;4504,68756782484
4563,20751554391;14507,2379099303;4012,10483193903
4197,73917900694;13894,2785381668;4066,5123741347
4128,41304213885;12851,889449377;3766,18210872192
3884,04747261698;12654,0901639339;3785,01745267472
4014,59322151297;12004,8856207304;3603,4986602175
4149,96240367762;11938,0203503787;3787,30956943444
4176,69676350522;11204,3278185733;3580,81759918717
3996,00151270274;10990,9611920718;3726,08306520952
4267,78718184673;9959,30271200054;3420,09821055065
4330,25659312864;10230,424427079;3804,88803914698
4209,65411890927;9755,35220975074;3705,84921063014
4592,07334365108;10307,3207213565;3843,10224525238
4133,22024131139;9578,53540050507;3850,2670555981
4142,03777141894;9975,00963698565;3809,86897251081
3748,50848438325;9182,00142037415;3540,32621688249
3545,80218326337;9071,34572949359;3725,16423799608
3297,84987452859;8064,03270340896;3218,21753265672
3500,24021081201;8366,31598426461;3096,24704496267
3148,48523494027;7891,48069664522;3114,82728312406
3422,57969362077;8592,79894863047;3379,75779330019
3343,9625842392;8227,45862705546;3067,16920820035
3292,7506605355;7589,4482122356;3163,91179253756
3391,38318948059;7382,37876681317;3064,3500627488
3553,97411862218;7989,46630269693;3629,79841027792
3602,89447040017;7967,21215007952;3315,89607610394
3403,92447351077;7555,46953546516;3382,87585536057
3089,78781341182;6642,97421044087;3067,08097968278
3353,46568319708;6956,19279172905;3307,83922531199
3185,44028137718;6881,64075869796;2904,63188571611
3270,83969660533;6907,46902351056;3001,17711204391
3257,09697915973;6429,76999075659;2790,72354825968
3051,13052492393;6398,34321610133;2734,50479865283
3049,88197915189;6280,64818175526;2598,83208834158
3080,70010001896;6830,7918246208;2718,86891273621
2998,86773852159;6236,28921101829;2627,93893594346
2772,59664648469;5822,43498219433;2493,46170316424
2745,89160648629;5341,4995123783;2699,6443910621
2697,96526582809;5564,54207795461;2247,88552062398
2673,70926133216;5519,54252195128;2478,22794010328
2345,27321126449;5779,33205367882;2327,95745958458
2473,75877103563;5548,80819647191;2395,11003906983
2448,51581700643;5466,40363940615;2441,17751634771
2262,1187682805;5706,84659980421;2111,77051444576
2372,55235951547;5679,79428144266;2285,83805194884
2026,16981904246;5255,31643300096;1877,05493569574
2074,00165695173;5745,75274827745;2084,11647067247
1860,08932424329;5541,36428030742;1851,93283855792
2100,19513056013;5389,84340546926;2022,42308004432
1967,53535422059;5386,38180595221;1516,71660937819
1822,11121648397;5300,42571786734;1659,22659103687
1739,61175239787;5557,31171164793;1680,60717747141
1835,2100106849;5793,26890789095;1494,55699395352
1545,810190882;5572,50363777365;1190,32471925872
1543,78608361069;5602,37267692722;1380,44324656895
1623,55467305183;6572,96720046997;1422,14794425964
1694,20236125745;6628,09848022461;1228,88597179714
1818,93247529232;6831,66794609301;1281,57084436128
1536,85242514775;6237,91237456223;1547,22590635563
1544,94536318098;5592,87327575684;1262,54476332664
1470,10002160072;6298,50679997035;1236,97240625109
1472,91708236694;5218,57891296387;1250,36647033691
1543,21654303869;5615,24968719482;1107,29873720805
1471,21575289187;4304,75764067277;1191,09598342232
1454,84672962536;4391,55892874978;1205,77861632
1541,27352371216;4392,52124023438;944,05435552597
1359,91214828491;4338,50746459961;999,617552185059
1286,87290548086;4697,99877929688;874,856778478622
1331,21386467783;4741,83362940738;708,959253511931
1120,6886085711;4975,47025901393;709,408977157191
1291,64652662807;4844,80673895942;782,818339559767
1602,86141490936;4408,42365288734;773,182992935181
1534,72682952881;3692,37734603882;977,335075923375
1828,6687301;4697,14954376221;927,675684611003
1719,82094335556;3510,60405476888;1005,10168826122
1635,39880625407;3276,33133443197;1109,47875722249
1679,52586503462;4939,6626032049;992,128834117543
1348,53609397195;3977,18923672763;1219,61495139382
1756,26349334717;3325,9107421875;881,398448181152
1786,22778065999;3020,36045328776;901,891677008735
1775,18563037448;2403,72728474935;646,457051595052
1872,41214476691;3021,27231852214;772,04088973999
2085,9887169732;5565,88840060764;1055,79097832574
1206,36688656277;5411,78834364149;1050,0507007175
1918,39859008789;5417,31055259705;752,659990787506
1460,32467937469;4091,3784866333;401,581479072571
1448,74472045898;2584,43389193217;716,210713704427
1742,04794921875;3772,42739257812;578,690645217896
1796,05729370117;5932,77744140625;1335,43011474609
1797,40748901367;3500,54388427734;618,117182159424
1490,01392974854;1813,77491455078;659,347523498535
1666,71108856201;3691,43542480469;577,273439788818
